,genre_sequence,unique_genres
0,90s,90s
1,90s,pop
2,pop,80s
3,80s,alternative rock
4,80s,rock
5,alternative rock,Grunge
6,rock,alternative metal
7,Grunge,Nu Metal
8,alternative metal,alessia cara
9,Nu Metal,funk
10,Grunge,alternative
11,rock,metal
12,rock,indie
13,alessia cara,Hip-Hop
14,funk,hiphop
15,rock,rap
16,rock,trap
17,rock,meme rap
18,rock,country
19,alternative,post-hardcore
20,Nu Metal,2003
21,metal,like2009-2014
22,80s,screamo
23,80s,hardcore
24,80s,metalcore
25,indie,folk
26,indie,chillstep
27,indie,electronic
28,Hip-Hop,electropop
29,hiphop,sxsw 2017
30,rap,lil yachty
31,Hip-Hop,Fave Indie Pop
32,trap,conan
33,Hip-Hop,Philkas
34,rap,sadboi
35,meme rap,punk
36,country,synthpop
37,country,2015
38,country,american
39,country,emo
40,country,post-rock
41,country,electronica
42,country,soul
43,country,christmas
44,country,classic rock
45,country,catchy af
46,country,jazz
47,country,easy listening
48,country,punk rock
49,country,hip hop
50,country,future
51,country,hard rock
52,country,ost
53,country,taylor swift
54,country,dance
55,country,strings and amps
56,country,Canadian
57,country,3 stars
58,country,folk rock
59,country,british
60,country,love at first listen
61,country,Alternative Folk
62,country,lu
63,country,indie pop
64,country,title track
65,country,mixtape for next person i fall in love with
66,country,instrumental
67,country,midnight
68,alternative metal,1994
69,alternative,cover
70,Nu Metal,life is strange
71,metal,somafm
72,rock,sxsw 2016
73,post-hardcore,shoegaze
74,2003,acoustic
75,post-hardcore,female vocalists
76,rock,bottom of a bottle
77,rock,2013
78,alternative,handclaps
79,alternative metal,fip
80,alternative,says the n word
81,Nu Metal,pop punk
82,metal,freja
83,alternative,songs
84,alternative,beautiful
85,Nu Metal,blues rock
86,metal,4 Stars
87,like2009-2014,numbers
88,alternative metal,what a voice
89,screamo,indie rock
90,Hip-Hop,winter morning
91,hardcore,male vocalists
92,metalcore,future bass
93,post-hardcore,techno
94,post-hardcore,scarlett johansson
95,rock,2014
96,folk,Meyers
97,Nu Metal,2010s
98,Grunge,sxsw 2015
99,Grunge,chill
100,Grunge,laid back
101,chillstep,relevant magazine
102,electronic,Mellow
103,electropop,The Vampire Diaries
104,electronic,I may start dancing
105,sxsw 2017,so beautiful it will break your heart
106,electropop,comedy
107,chillstep,played
108,electronic,Rave
109,sxsw 2017,design
110,electropop,audiosurfed
111,lil yachty,rnb
112,Hip-Hop,Progressive rock
113,trap,f
114,Fave Indie Pop,trey songz
115,conan,hip hop tag
116,Philkas,christian
117,sadboi,bernie stuteville
118,chillstep,Dubstep Guns
119,electronic,dubstep
120,sxsw 2017,Lil Wayne
121,electropop,power pop
122,alternative metal,popular rock
123,Hip-Hop,Awesome song
124,rap,Awesome
125,Hip-Hop,derivative
126,meme rap,great
127,punk,Alessandro Safina
128,punk,360shift
129,punk,brilliant
130,indie,My Playlist
131,indie,Favorite Derek Webb Songs
132,indie,favorite tracks
133,indie,laff
134,indie,wonderful
135,indie,Busta Rhymes
136,indie,Megadeth
137,synthpop,insane
138,rock,stand-up comedy tag
139,rap,xzibit
140,Hip-Hop,dr dre
141,like2009-2014,chillout
142,indie,classic
143,folk,strings
144,Hip-Hop,Versus The Mirror
145,Hip-Hop,waltz
146,2015,favorites
147,rock,None
148,screamo,None
149,Hip-Hop,None
150,lil yachty,None
151,Hip-Hop,None
152,Hip-Hop,None
153,meme rap,None
154,american,None
155,Hip-Hop,None
156,Hip-Hop,None
157,metalcore,None
158,hardcore,None
159,hardcore,None
160,emo,None
161,post-rock,None
162,emo,None
163,alternative metal,None
164,Nu Metal,None
165,synthpop,None
166,Grunge,None
167,synthpop,None
168,indie,None
169,alternative,None
170,indie,None
171,Hip-Hop,None
172,rock,None
173,post-rock,None
174,indie,None
175,emo,None
176,indie,None
177,Hip-Hop,None
178,american,None
179,Hip-Hop,None
180,Hip-Hop,None
181,Hip-Hop,None
182,Hip-Hop,None
183,meme rap,None
184,electronica,None
185,Hip-Hop,None
186,like2009-2014,None
187,soul,None
188,Grunge,None
189,Hip-Hop,None
190,Hip-Hop,None
191,Hip-Hop,None
192,Hip-Hop,None
193,meme rap,None
194,christmas,None
195,christmas,None
196,christmas,None
197,christmas,None
198,christmas,None
199,classic rock,None
200,catchy af,None
201,christmas,None
202,christmas,None
203,christmas,None
204,christmas,None
205,christmas,None
206,christmas,None
207,christmas,None
208,christmas,None
209,jazz,None
210,christmas,None
211,christmas,None
212,christmas,None
213,christmas,None
214,easy listening,None
215,christmas,None
216,christmas,None
217,christmas,None
218,christmas,None
