,genre_sequence,unique_genres
0,chillout,chillout
1,jazz,jazz
2,chillwave,chillwave
3,alternative,alternative
4,funk,funk
5,dream pop,dream pop
6,electronic,electronic
7,electronic,indie
8,indie,Lo-Fi
9,Lo-Fi,rock
10,dream pop,chill
11,rock,1Live Fiehe
12,chill,played
13,1Live Fiehe,pop
14,played,folk
15,electronic,ambient
16,indie,indie rock
17,chillwave,britpop
18,indie,Soundtrack
19,chillwave,80s
20,pop,indie pop
21,indie,trains
22,indie,House
23,chillwave,singer-songwriter
24,folk,latin
25,dream pop,lizvelrene2010
26,indie,70s
27,ambient,dreamwave
28,indie,BIRP
29,indie rock,instrumental
30,indie rock,darkwave
31,indie,best of 2012
32,britpop,Calming
33,indie,experimental
34,rock,title is a full sentence
35,Soundtrack,shoegaze
36,electronic,vugube62
37,80s,beautiful
38,indie pop,synth pop
39,trains,classic rock
40,ambient,so good i forget to breathe
41,House,electronica
42,electronic,Clementine remix
43,Lo-Fi,somafm
44,indie,reggae
45,dream pop,summer
46,singer-songwriter,synthpop
47,indie rock,electropop
48,dream pop,indietronica
49,indie pop,electro
50,ambient,span495 - 2
51,latin,big bills
52,indie,fun
53,House,Awesome
54,dream pop,liked
55,dream pop,2008
56,lizvelrene2010,North Carolina
57,electronic,surf rock
58,rock,psychedelic pop
59,70s,ost
60,electronic,skins us
61,dreamwave,like2009-2014
62,BIRP,I thought of you
63,dream pop,exuberant folk
64,instrumental,Hip-Hop
65,electronic,skins
66,indie,loneliness after dusk
67,electronic,WKNC
68,darkwave,featuring
69,rock,Electro Pop
70,best of 2012,chill-fi
71,indie,favorites
72,indie rock,Love
73,Calming,best of 2010-lo mejor de 2010
74,experimental,covers
75,indie,electrosexy
76,title is a full sentence,kick your ass
77,indie,double-ender 16
78,indie rock,mental
79,House,psychedelic
80,shoegaze,if this song were a girl i would fuck her or at least touch her tits
81,vugube62,End Credits
82,beautiful,my secret agent lover man
83,folk,discover
84,rock,alternative rock
85,beautiful,cover
86,indie rock,pop music tag
87,electronic,afrobeat
88,indie,american
89,synth pop,recs I like
90,lizvelrene2010,female vocals
91,indie rock,beats
92,classic rock,funky
93,electronic,singer-songwritergdchill
94,electronic,2k11 mix
95,electronic,melancholy
96,pop,kbfm
97,pop,guitar
98,pop,new girls
99,pop,funky jazz
100,pop,Austin Loved Tracks
101,dream pop,Minneapolis
102,so good i forget to breathe,Burn One
103,indie,best remixes
104,electronica,Disco
105,electronic,Me gusta
106,indie,sxsw 2011
107,dreamwave,rocket shoes mixtapes
108,indie,new tracks to investigate
109,Clementine remix,ladytron
110,indie rock,twee
111,rock,test
112,somafm,investigate
113,Lo-Fi,the prescription
114,BIRP,female vocalists
115,reggae,fit
116,chillwave,garage pop
117,indie pop,cute
118,electronic,i want back to the 2010s
119,electronic,the word miss
120,summer,autumn
121,indie,Go drunk eosin cabs
122,synthpop,austin
123,electronic,Morose Deep dilate Crimson
124,indie pop,shut up and have a banana
125,electropop,needs more cowbell
126,electronic,low-fi
127,dreamwave,daytrotter
128,indie,music to get the pussy wet
129,electronic,lovedbybeyondwithin
130,indie,late night
131,indietronica,no fidelity
132,singer-songwriter,thesixtyone
133,ambient,emo
134,electronic,world
135,indie,idioteque
136,electro,sxsw 2009
137,indie,2006
138,electronic,psychedelic folk
139,electronic,normal
140,electronic,other
141,indie,stonesoup
142,alternative,chasing the mean reds
143,indie pop,pxs: loved
144,indie,good
145,indie,bizarre
146,pop,alternative rap
147,indie,warm
148,80s,goodnightmom
149,chillwave,in 80 days around the world
150,electronic,stonedbeat
151,electronic,amazing
152,indie,heard on Pandora
153,chillwave,Recent discoveries
154,indie,Skinhead
155,Clementine remix,animals
156,indie rock,elegy
157,indie pop,Canadian
158,indie,remix
159,electronic,hip hop
160,electronic,ktw
161,singer-songwriter,posh
162,somafm,hot lava
163,indie,C-pop
164,indie,the dronez
165,ambient,Background
166,electronic,hauntingly beautiful
167,Soundtrack,Live Earth
168,electronic,post-rock
169,indie,country
170,electronic,unfortunately relagated to b-side status
171,indie,Dreamy
172,indie,i feel love
173,singer-songwriter,anti-folk
174,indie pop,bradford cox is a genius
175,80s,Garage Rock
176,experimental,Channel X
177,indie rock,drinking
178,Clementine remix,Mellow
179,indie pop,sweet cooing monks from the eastern seaboard
180,ambient,pitchfork music festival 2010
181,indie,audioase
182,indie,this
183,dreamwave,cap
184,electronic,Recs from Mark
185,chillout,best of 2009
186,somafm,fip
187,indie,loved
188,indie,oldies
189,indie,Indian
190,indie,summer sound
191,dreamwave,60's
192,chillwave,male vocals
193,indie,tambourine
194,pop,favorite songs
195,experimental,Heartbreaking
196,electronic,americana
197,80s,Fan-Fucking-Tastic
198,span495 - 2,ventnor
199,indie,happy
200,big bills,o
201,fun,indie folk
202,dream pop,None
203,electronic,None
204,electronic,None
205,fun,None
206,big bills,None
207,indie,None
208,span495 - 2,None
209,80s,None
210,electronic,None
211,experimental,None
212,pop,None
213,indie,None
214,pop,None
215,indie rock,None
216,indie,None
217,Soundtrack,None
218,indie rock,None
219,electronic,None
220,chillout,None
221,indie,None
222,indie,None
223,indie,None
224,indie,None
225,80s,None
226,rock,None
227,chillwave,None
228,80s,None
229,80s,None
230,indie,None
231,pop,None
232,electronic,None
233,chill,None
234,pop,None
235,played,None
236,indie,None
237,pop,None
238,dream pop,None
239,indie pop,None
240,electronic,None
241,indie,None
242,indie,None
243,pop,None
244,indie,None
245,experimental,None
246,chillout,None
247,indie,None
248,indie,None
249,indie,None
250,chillout,None
251,electronic,None
252,indie rock,None
253,Soundtrack,None
254,indie,None
255,indie rock,None
256,indie,None
257,pop,None
258,chill,None
259,indie,None
260,pop,None
261,experimental,None
262,electronic,None
263,indie,None
264,pop,None
265,chill,None
266,pop,None
267,indie,None
268,indie,None
269,indie rock,None
270,indie,None
271,Soundtrack,None
272,indie rock,None
273,80s,None
274,80s,None
275,span495 - 2,None
276,indie,None
277,big bills,None
278,fun,None
279,electronic,None
280,electronic,None
281,dream pop,None
282,indie,None
283,indie,None
284,electronic,None
285,ambient,None
286,indie,None
287,electronic,None
288,indie,None
289,electronic,None
290,indie,None
291,indie,None
292,indie pop,None
293,Soundtrack,None
294,indie pop,None
295,indie,None
296,electronic,None
297,experimental,None
298,pop,None
299,Lo-Fi,None
300,Awesome,None
301,indie rock,None
302,alternative,None
303,chill,None
304,indie pop,None
305,indie rock,None
306,alternative,None
307,alternative,None
308,liked,None
309,alternative,None
310,indie,None
311,indie rock,None
312,2008,None
313,Clementine remix,None
314,electronic,None
315,indie rock,None
316,indie,None
317,alternative,None
318,indie rock,None
319,electronic,None
320,indie,None
321,indie rock,None
322,indie rock,None
323,indie rock,None
324,indie rock,None
325,indie,None
326,indie rock,None
327,indie,None
328,electronic,None
329,experimental,None
330,ambient,None
331,instrumental,None
332,indie,None
333,experimental,None
334,electronic,None
335,indie,None
336,electronic,None
337,indie pop,None
338,electronic,None
339,indie,None
340,ambient,None
341,experimental,None
342,electronic,None
343,Soundtrack,None
344,indie,None
345,chillout,None
346,Lo-Fi,None
347,indie pop,None
348,electronic,None
349,electronic,None
350,electropop,None
351,electronic,None
352,indie,None
353,alternative,None
354,electronic,None
355,Lo-Fi,None
356,Soundtrack,None
357,indie,None
358,chillout,None
359,indie,None
360,singer-songwriter,None
361,indie rock,None
362,indie,None
363,rock,None
364,alternative,None
365,rock,None
366,rock,None
367,rock,None
368,indie,None
369,indie,None
370,best of 2012,None
371,indie pop,None
372,Soundtrack,None
373,fun,None
374,electronic,None
375,funk,None
376,electronic,None
377,electropop,None
378,indie,None
379,Lo-Fi,None
380,Soundtrack,None
381,experimental,None
382,indie,None
383,indietronica,None
384,indie,None
385,rock,None
386,chillwave,None
387,indie,None
388,singer-songwriter,None
389,indie,None
390,chillwave,None
391,rock,None
392,indie,None
393,indie,None
394,indie,None
395,singer-songwriter,None
396,indie,None
397,Lo-Fi,None
398,indie,None
399,singer-songwriter,None
400,indie,None
401,indie,None
402,indie,None
403,rock,None
404,chillwave,None
405,indie,None
406,indie,None
407,indie,None
408,singer-songwriter,None
409,indie,None
410,indie,None
411,Lo-Fi,None
412,chillout,None
413,indie,None
414,indie,None
415,summer,None
416,Lo-Fi,None
417,indie,None
418,rock,None
419,rock,None
420,rock,None
421,alternative,None
422,electronic,None
423,electronic,None
424,indie,None
425,indie,None
426,electronic,None
427,Soundtrack,None
428,rock,None
429,indie,None
430,electropop,None
431,Lo-Fi,None
432,indie,None
433,chillwave,None
434,Lo-Fi,None
435,folk,None
436,Lo-Fi,None
437,indie,None
438,electronic,None
439,chill,None
440,pop,None
441,indie,None
442,indie,None
443,electropop,None
444,singer-songwriter,None
445,electronic,None
446,Lo-Fi,None
447,chillwave,None
