,genre_sequence,unique_genres
0,electropop,electropop
1,dream pop,dream pop
2,electropop,synthpop
3,synthpop,love at first listen
4,dream pop,pop
5,electropop,hino
6,electropop,electronic
7,love at first listen,alternative metal
8,pop,trip-hop
9,hino,japanese
10,electronic,J-rock
11,electropop,indie pop
12,alternative metal,shoegaze
13,trip-hop,british
14,japanese,hype
15,J-rock,alternative rock
16,japanese,atmospheric
17,indie pop,indie rock
18,shoegaze,american
19,indie pop,indie
20,british,Mellow
21,hype,ambient
22,alternative rock,rock
23,atmospheric,britpop
24,indie rock,JPop
25,american,ambient pop
26,indie,Yasuharu Takanashi
27,Mellow,Soundtrack
28,trip-hop,Rock en Espanol
29,american,4star
30,indie,anime
31,Mellow,<3
32,trip-hop,indie folk
33,ambient,Classical
34,dream pop,Buck-Tick
35,rock,alternative
36,britpop,ost
37,JPop,80s
38,synthpop,beautiful
39,synthpop,Grunge
40,indie pop,j-pop
41,indie pop,instrumental
42,indie pop,k-pop
43,indie pop,Awesome
44,indie pop,german
45,indie pop,singer-songwriter
46,indie pop,acoustic
47,indie pop,folk
48,shoegaze,jrock
49,dream pop,seen live
50,dream pop,feelings
51,ambient pop,repeatable
52,ambient pop,tokio hotel gif
53,ambient pop,night
54,ambient pop,french
55,J-rock,female vocalists
56,indie,be-my-baby drum
57,electronic,mainplaylist
58,Yasuharu Takanashi,eerie
59,Soundtrack,names of people
60,japanese,Fave Indie Pop
61,Rock en Espanol,title track
62,Soundtrack,Chara
63,dream pop,obscure yet streamable tracks
64,dream pop,somafm
65,Soundtrack,anime soundtracks
66,Soundtrack,2010s
67,4star,mistagged
68,electronic,rock en español
69,japanese,chillout
70,japanese,1
71,japanese,Lara-Loved
72,J-rock,Alucinante
73,J-rock,describing me
74,J-rock,night city
75,J-rock,design
76,J-rock,cover
77,J-rock,Soundtracks
78,J-rock,streamable track wants
79,synthpop,indietronica
80,synthpop,calm
81,synthpop,Kill Hannah
82,anime,music choice: alternative
83,japanese,hairy chest
84,japanese,2015 single
85,japanese,monaco
86,Yasuharu Takanashi,frankgardy 28
87,Yasuharu Takanashi,lovesong
88,Yasuharu Takanashi,trip
89,Yasuharu Takanashi,happy
90,Yasuharu Takanashi,2014 single
91,<3,emanuel
92,Yasuharu Takanashi,becoming jane
93,Yasuharu Takanashi,poszukiwania
94,Yasuharu Takanashi,chill
95,dream pop,epic soundtrack
96,dream pop,mysterious
97,indie folk,post-punk
98,indie folk,un dia gris
99,indie rock,romanticas
100,indie rock,None
101,indie rock,None
102,dream pop,None
103,dream pop,None
104,electronic,None
105,Classical,None
106,Soundtrack,None
107,rock,None
108,synthpop,None
109,synthpop,None
110,synthpop,None
111,Buck-Tick,None
112,Buck-Tick,None
113,electronic,None
114,alternative,None
115,alternative,None
116,Soundtrack,None
117,Soundtrack,None
118,ost,None
119,80s,None
120,beautiful,None
121,alternative,None
122,dream pop,None
123,dream pop,None
124,pop,None
125,pop,None
126,indie,None
127,rock,None
128,rock,None
129,Grunge,None
130,j-pop,None
131,britpop,None
132,alternative,None
133,synthpop,None
134,synthpop,None
135,synthpop,None
136,instrumental,None
137,k-pop,None
138,Awesome,None
139,german,None
140,electronic,None
141,electronic,None
142,dream pop,None
143,Soundtrack,None
144,J-rock,None
145,J-rock,None
146,indie,None
147,indie rock,None
148,singer-songwriter,None
149,indie rock,None
150,pop,None
151,Rock en Espanol,None
152,acoustic,None
153,rock,None
154,folk,None
155,synthpop,None
156,dream pop,None
157,dream pop,None
158,rock,None
159,Yasuharu Takanashi,None
160,anime,None
161,jrock,None
162,electronic,None
163,JPop,None
164,synthpop,None
165,synthpop,None
166,seen live,None
167,electronic,None
168,synthpop,None
169,synthpop,None
170,synthpop,None
171,synthpop,None
172,synthpop,None
173,electronic,None
174,J-rock,None
175,folk,None
176,folk,None
177,dream pop,None
178,japanese,None
179,japanese,None
180,japanese,None
181,dream pop,None
182,dream pop,None
183,dream pop,None
184,dream pop,None
185,J-rock,None
186,J-rock,None
187,J-rock,None
188,japanese,None
189,Soundtrack,None
190,Yasuharu Takanashi,None
191,Yasuharu Takanashi,None
192,Soundtrack,None
193,Yasuharu Takanashi,None
194,electronic,None
195,instrumental,None
196,indie rock,None
197,Buck-Tick,None
198,indie folk,None
199,J-rock,None
200,electronic,None
201,anime,None
202,indie,None
203,indie rock,None
204,dream pop,None
205,love at first listen,None
206,J-rock,None
207,J-rock,None
208,JPop,None
209,JPop,None
210,dream pop,None
211,dream pop,None
212,J-rock,None
213,Yasuharu Takanashi,None
214,Yasuharu Takanashi,None
215,Awesome,None
216,Yasuharu Takanashi,None
217,rock,None
218,Soundtrack,None
219,dream pop,None
220,Yasuharu Takanashi,None
221,pop,None
222,indie rock,None
223,indie,None
224,pop,None
225,german,None
226,rock,None
227,Yasuharu Takanashi,None
228,alternative,None
229,Classical,None
230,Yasuharu Takanashi,None
231,feelings,None
232,ost,None
233,repeatable,None
234,J-rock,None
235,Yasuharu Takanashi,None
236,<3,None
237,<3,None
238,<3,None
239,japanese,None
240,japanese,None
241,jrock,None
242,JPop,None
243,dream pop,None
244,dream pop,None
245,dream pop,None
246,dream pop,None
247,dream pop,None
248,anime,None
249,anime,None
250,rock,None
251,electronic,None
252,alternative rock,None
253,alternative rock,None
254,alternative rock,None
255,alternative,None
256,alternative,None
257,rock,None
258,electronic,None
259,indie rock,None
260,indie rock,None
261,indie,None
262,indie,None
263,indie pop,None
264,indie pop,None
265,k-pop,None
266,k-pop,None
267,k-pop,None
268,k-pop,None
269,love at first listen,None
270,alternative rock,None
271,alternative rock,None
272,alternative rock,None
273,pop,None
274,pop,None
275,pop,None
276,j-pop,None
277,j-pop,None
278,rock,None
279,ost,None
280,ost,None
281,ost,None
282,ost,None
283,ost,None
284,ost,None
285,ost,None
286,ost,None
287,ost,None
288,ost,None
289,ost,None
290,Yasuharu Takanashi,None
291,Yasuharu Takanashi,None
292,Yasuharu Takanashi,None
293,Yasuharu Takanashi,None
294,Yasuharu Takanashi,None
295,alternative,None
296,alternative,None
297,alternative,None
298,indie folk,None
299,anime,None
300,anime,None
301,anime,None
302,anime,None
303,anime,None
304,dream pop,None
305,Yasuharu Takanashi,None
306,Yasuharu Takanashi,None
307,J-rock,None
308,J-rock,None
309,J-rock,None
310,J-rock,None
311,J-rock,None
312,Yasuharu Takanashi,None
313,Yasuharu Takanashi,None
314,anime,None
315,dream pop,None
316,dream pop,None
317,dream pop,None
318,electronic,None
319,dream pop,None
320,dream pop,None
321,dream pop,None
322,dream pop,None
323,electronic,None
324,Yasuharu Takanashi,None
325,Yasuharu Takanashi,None
326,Yasuharu Takanashi,None
327,Yasuharu Takanashi,None
328,love at first listen,None
329,german,None
330,indie,None
331,folk,None
332,folk,None
333,indie,None
334,anime,None
335,alternative rock,None
336,Soundtrack,None
337,anime,None
338,J-rock,None
339,J-rock,None
340,rock,None
341,synthpop,None
342,alternative rock,None
343,Soundtrack,None
344,Soundtrack,None
345,Soundtrack,None
346,pop,None
347,dream pop,None
348,dream pop,None
349,dream pop,None
350,J-rock,None
351,indie rock,None
352,alternative,None
353,alternative,None
354,anime,None
355,Yasuharu Takanashi,None
356,Yasuharu Takanashi,None
357,J-rock,None
358,J-rock,None
359,instrumental,None
360,J-rock,None
361,Yasuharu Takanashi,None
362,Yasuharu Takanashi,None
363,Classical,None
364,dream pop,None
365,electronic,None
366,anime,None
367,anime,None
368,japanese,None
369,japanese,None
370,indie,None
371,dream pop,None
372,Soundtrack,None
373,beautiful,None
374,beautiful,None
375,beautiful,None
376,beautiful,None
377,J-rock,None
378,electronic,None
379,Yasuharu Takanashi,None
380,japanese,None
381,rock,None
382,japanese,None
383,anime,None
384,beautiful,None
385,J-rock,None
386,repeatable,None
387,repeatable,None
388,rock,None
389,rock,None
390,britpop,None
391,rock,None
392,rock,None
393,rock,None
394,britpop,None
395,britpop,None
396,dream pop,None
397,dream pop,None
398,dream pop,None
399,dream pop,None
400,dream pop,None
401,dream pop,None
402,dream pop,None
403,dream pop,None
404,dream pop,None
405,dream pop,None
406,dream pop,None
407,dream pop,None
408,dream pop,None
409,dream pop,None
410,dream pop,None
411,dream pop,None
412,dream pop,None
413,dream pop,None
414,dream pop,None
415,dream pop,None
416,shoegaze,None
417,dream pop,None
418,indie folk,None
419,Buck-Tick,None
420,japanese,None
421,dream pop,None
422,J-rock,None
423,indie,None
424,indie,None
425,anime,None
426,anime,None
427,indie,None
428,anime,None
429,anime,None
430,anime,None
431,anime,None
432,anime,None
433,indie folk,None
434,anime,None
435,japanese,None
436,anime,None
437,japanese,None
438,Soundtrack,None
439,Soundtrack,None
440,anime,None
441,Grunge,None
442,Grunge,None
443,Grunge,None
444,Grunge,None
445,Grunge,None
446,Grunge,None
447,rock,None
448,Grunge,None
449,Grunge,None
450,Grunge,None
451,Grunge,None
452,Grunge,None
453,Grunge,None
454,Grunge,None
455,alternative,None
456,pop,None
457,rock,None
458,rock,None
459,rock,None
460,rock,None
461,rock,None
462,rock,None
463,pop,None
464,electronic,None
465,electronic,None
466,tokio hotel gif,None
467,electronic,None
468,acoustic,None
